curr pt[0] time,curr pt[0] vehicle time,curr pt[0],curr pt[1] time,curr pt[1] vehicle time,curr pt[1],curr param time,curr param vehicle time,curr param,desired pt[0] time,desired pt[0] vehicle time,desired pt[0],desired pt[1] time,desired pt[1] vehicle time,desired pt[1],desired yaw (rad) time,desired yaw (rad) vehicle time,desired yaw (rad),crosstrack error time,crosstrack error vehicle time,crosstrack error,front wheel angle (rad) time,front wheel angle (rad) vehicle time,front wheel angle (rad),desired speed (m/s) time,desired speed (m/s) vehicle time,desired speed (m/s),feedforward accel (m/s^2) time,feedforward accel (m/s^2) vehicle time,feedforward accel (m/s^2),output accel (m/s^2) time,output accel (m/s^2) vehicle time,output accel (m/s^2),current yaw (rad) time,current yaw (rad) vehicle time,current yaw (rad),current speed (m/s) time,current speed (m/s) vehicle time,current speed (m/s)
1739502639.5794408,0.029999971389770508,0.0,1739502639.5794437,0.029999971389770508,0.0,1739502639.5794468,0.029999971389770508,2e-06,1739502639.5794497,0.029999971389770508,1.9947503416207786,1739502639.579451,0.029999971389770508,-0.06638719928805828,1739502639.579453,0.029999971389770508,-0.03326867705567338,1739502639.579455,0.029999971389770508,-0.06638719928805828,1739502639.5794566,0.029999971389770508,-0.1279158618748393,1739502639.579458,0.029999971389770508,2.370689811361755,1739502639.57946,0.029999971389770508,0.0,1739502639.5794618,0.029999971389770508,2.370689811361755,1739502639.5794635,0.029999971389770508,0.0,1739502639.579465,0.029999971389770508,0.0
1739502639.5991945,0.04999995231628418,0.0,1739502639.5991986,0.04999995231628418,0.0,1739502639.5992029,0.04999995231628418,2e-06,1739502639.599206,0.04999995231628418,1.9947503416207786,1739502639.5992079,0.04999995231628418,-0.06638719928805828,1739502639.5992103,0.04999995231628418,-0.03326867705567338,1739502639.599213,0.04999995231628418,-0.06638719928805828,1739502639.5992148,0.04999995231628418,-0.1279158618748393,1739502639.5992165,0.04999995231628418,2.370689811361755,1739502639.5992181,0.04999995231628418,0.0,1739502639.5992198,0.04999995231628418,2.370689811361755,1739502639.5992215,0.04999995231628418,0.0,1739502639.5992231,0.04999995231628418,0.0
1739502639.6183183,0.06999993324279785,0.00047983963609077307,1739502639.6183212,0.06999993324279785,-6.804403263060976e-09,1739502639.618324,0.06999993324279785,1.520160363909227e-06,1739502639.618327,0.06999993324279785,2.05869696822515,1739502639.6183283,0.06999993324279785,-0.06716502371355604,1739502639.61833,0.06999993324279785,-0.03262104377967774,1739502639.6183317,0.06999993324279785,-0.06706948465977582,1739502639.6183329,0.06999993324279785,-0.12139602026825669,1739502639.6183345,0.06999993324279785,2.369396174862239,1739502639.618336,0.06999993324279785,0.0,1739502639.6183374,0.06999993324279785,2.322297716956859,1739502639.6183388,0.06999993324279785,6.283138892165478,1739502639.61834,0.06999993324279785,0.03197591848874033
1739502639.6381671,0.08999991416931152,0.00047983963609077307,1739502639.6381693,0.08999991416931152,-6.804403263060976e-09,1739502639.6381721,0.08999991416931152,1.520160363909227e-06,1739502639.638175,0.08999991416931152,2.05869696822515,1739502639.6381764,0.08999991416931152,-0.06716502371355604,1739502639.638178,0.08999991416931152,-0.03262104377967774,1739502639.6381795,0.08999991416931152,-0.06706948465977582,1739502639.638181,0.08999991416931152,-0.12139602026825669,1739502639.6381822,0.08999991416931152,2.369396174862239,1739502639.6381836,0.08999991416931152,0.0,1739502639.6381853,0.08999991416931152,2.3374202563734987,1739502639.6381865,0.08999991416931152,6.283138892165478,1739502639.6381881,0.08999991416931152,0.03197591848874033
1739502639.6776097,0.1099998950958252,0.00047983963609077307,1739502639.6776133,0.1099998950958252,-6.804403263060976e-09,1739502639.6776173,0.1099998950958252,1.520160363909227e-06,1739502639.6776206,0.1099998950958252,2.05869696822515,1739502639.6776223,0.1099998950958252,-0.06716502371355604,1739502639.6776242,0.1099998950958252,-0.03262104377967774,1739502639.677626,0.1099998950958252,-0.06706948465977582,1739502639.6776278,0.1099998950958252,-0.12139602026825669,1739502639.6776292,0.1099998950958252,2.369396174862239,1739502639.6776314,0.1099998950958252,0.0,1739502639.677633,0.1099998950958252,2.3374202563734987,1739502639.6776345,0.1099998950958252,6.283138892165478,1739502639.6776361,0.1099998950958252,0.03197591848874033
1739502639.7040946,0.14999985694885254,0.00047983963609077307,1739502639.7041,0.14999985694885254,-6.804403263060976e-09,1739502639.704105,0.14999985694885254,1.520160363909227e-06,1739502639.704109,0.14999985694885254,2.05869696822515,1739502639.7041109,0.14999985694885254,-0.06716502371355604,1739502639.7041135,0.14999985694885254,-0.03262104377967774,1739502639.7041175,0.14999985694885254,-0.06706948465977582,1739502639.7041202,0.14999985694885254,-0.12139602026825669,1739502639.704122,0.14999985694885254,2.369396174862239,1739502639.7041247,0.14999985694885254,0.0,1739502639.7041268,0.14999985694885254,2.3374202563734987,1739502639.704129,0.14999985694885254,6.283138892165478,1739502639.7041314,0.14999985694885254,0.03197591848874033
1739502639.7231534,0.1699998378753662,0.00047983963609077307,1739502639.7231562,0.1699998378753662,-6.804403263060976e-09,1739502639.7231596,0.1699998378753662,1.520160363909227e-06,1739502639.7231624,0.1699998378753662,2.05869696822515,1739502639.7231636,0.1699998378753662,-0.06716502371355604,1739502639.7231655,0.1699998378753662,-0.03262104377967774,1739502639.7231672,0.1699998378753662,-0.06706948465977582,1739502639.7231688,0.1699998378753662,-0.12139602026825669,1739502639.7231703,0.1699998378753662,2.369396174862239,1739502639.723172,0.1699998378753662,0.0,1739502639.7231734,0.1699998378753662,2.3374202563734987,1739502639.7231746,0.1699998378753662,6.283138892165478,1739502639.7231762,0.1699998378753662,0.03197591848874033
1739502639.8222353,0.19999980926513672,0.009488760476915381,1739502639.82224,0.19999980926513672,-3.58028625679907e-06,1739502639.8222456,0.19999980926513672,0.0,1739502639.822252,0.19999980926513672,2.2781082034004916,1739502639.8222554,0.19999980926513672,-0.06986746817333699,1739502639.8222601,0.19999980926513672,-0.030786042513801123,1739502639.8222644,0.19999980926513672,-0.0680247658429978,1739502639.8222685,0.19999980926513672,-0.1013743189631224,1739502639.8222723,0.19999980926513672,2.3675861149316564,1739502639.8222764,0.19999980926513672,0.0,1739502639.8222804,0.19999980926513672,2.175197469240814,1739502639.8222847,0.19999980926513672,6.282374638252922,1739502639.8222892,0.19999980926513672,0.1416939914738729
1739502639.8888443,0.2799997329711914,0.009488760476915381,1739502639.888847,0.2799997329711914,-3.58028625679907e-06,1739502639.8888502,0.2799997329711914,0.0,1739502639.888853,0.2799997329711914,2.2781082034004916,1739502639.8888547,0.2799997329711914,-0.06986746817333699,1739502639.8888566,0.2799997329711914,-0.030786042513801123,1739502639.8888578,0.2799997329711914,-0.0680247658429978,1739502639.8888595,0.2799997329711914,-0.1013743189631224,1739502639.8888607,0.2799997329711914,2.3675861149316564,1739502639.8888621,0.2799997329711914,0.0,1739502639.8888636,0.2799997329711914,2.2258921234577835,1739502639.888865,0.2799997329711914,6.282374638252922,1739502639.8888662,0.2799997329711914,0.1416939914738729
1739502639.907965,0.3099997043609619,0.030547019841669965,1739502639.9079678,0.3099997043609619,-3.691379956194396e-05,1739502639.907971,0.3099997043609619,0.0215519580373643,1739502639.907974,0.3099997043609619,2.518590721821713,1739502639.9079752,0.3099997043609619,-0.073,1739502639.907978,0.3099997043609619,-0.02931708202390329,1739502639.9079828,0.3099997043609619,-0.06672760156828361,1739502639.9079869,0.3099997043609619,-0.08269274153147879,1739502639.9079907,0.3099997043609619,2.370044308683982,1739502639.9079928,0.3099997043609619,0.0,1739502639.9079943,0.3099997043609619,2.070223958273649,1739502639.907996,0.3099997043609619,6.280679216940032,1739502639.9079976,0.3099997043609619,0.2511740168952693
