curr pt[0] time,curr pt[0] vehicle time,curr pt[0],curr pt[1] time,curr pt[1] vehicle time,curr pt[1],curr param time,curr param vehicle time,curr param,desired pt[0] time,desired pt[0] vehicle time,desired pt[0],desired pt[1] time,desired pt[1] vehicle time,desired pt[1],desired yaw (rad) time,desired yaw (rad) vehicle time,desired yaw (rad),crosstrack error time,crosstrack error vehicle time,crosstrack error,front wheel angle (rad) time,front wheel angle (rad) vehicle time,front wheel angle (rad),desired speed (m/s) time,desired speed (m/s) vehicle time,desired speed (m/s),feedforward accel (m/s^2) time,feedforward accel (m/s^2) vehicle time,feedforward accel (m/s^2),output accel (m/s^2) time,output accel (m/s^2) vehicle time,output accel (m/s^2),current yaw (rad) time,current yaw (rad) vehicle time,current yaw (rad),current speed (m/s) time,current speed (m/s) vehicle time,current speed (m/s),Past the end of trajectory time,Past the end of trajectory vehicle time
1740481168.1550307,0.019999980926513672,0.0,1740481168.1550329,0.019999980926513672,0.0,1740481168.1550357,0.019999980926513672,0.0,1740481168.1550379,0.019999980926513672,2.0,1740481168.155039,0.019999980926513672,0.0,1740481168.1550407,0.019999980926513672,0.0,1740481168.1550417,0.019999980926513672,0.0,1740481168.1550431,0.019999980926513672,0.0,1740481168.155044,0.019999980926513672,0.061237243569579464,1740481168.1550453,0.019999980926513672,0.0,1740481168.1550467,0.019999980926513672,0.061237243569579464,1740481168.1550477,0.019999980926513672,0.0,1740481168.1550488,0.019999980926513672,0.0,1740481175.818341,7.639992713928223
1740481168.1736927,0.039999961853027344,0.0,1740481168.1736946,0.039999961853027344,0.0,1740481168.173697,0.039999961853027344,0.0,1740481168.1736991,0.039999961853027344,2.0,1740481168.1737,0.039999961853027344,0.0,1740481168.1737013,0.039999961853027344,0.0,1740481168.1737027,0.039999961853027344,0.0,1740481168.1737037,0.039999961853027344,0.0,1740481168.1737046,0.039999961853027344,0.061237243569579464,1740481168.1737056,0.039999961853027344,0.0,1740481168.1737065,0.039999961853027344,0.061237243569579464,1740481168.1737075,0.039999961853027344,0.0,1740481168.1737082,0.039999961853027344,0.0,1740481175.838934,7.659992694854736
1740481168.1907423,0.059999942779541016,0.0,1740481168.1907442,0.059999942779541016,0.0,1740481168.1907463,0.059999942779541016,0.0,1740481168.1907485,0.059999942779541016,2.0,1740481168.1907494,0.059999942779541016,0.0,1740481168.1907508,0.059999942779541016,0.0,1740481168.190752,0.059999942779541016,0.0,1740481168.1907527,0.059999942779541016,0.0,1740481168.1907537,0.059999942779541016,0.061237243569579464,1740481168.190755,0.059999942779541016,0.0,1740481168.1907556,0.059999942779541016,0.061237243569579464,1740481168.1907566,0.059999942779541016,0.0,1740481168.1907573,0.059999942779541016,0.0,1740481175.85758,7.67999267578125
1740481168.210773,0.08999991416931152,9.179463234421092e-05,1740481168.2107751,0.08999991416931152,0.0,1740481168.210777,0.08999991416931152,9.179463234421094e-07,1740481168.2107792,0.08999991416931152,2.0073402035928103,1740481168.2107801,0.08999991416931152,0.0,1740481168.210781,0.08999991416931152,0.0,1740481168.2107825,0.08999991416931152,0.0,1740481168.2107832,0.08999991416931152,0.0,1740481168.2107842,0.08999991416931152,0.061237243569579464,1740481168.2107854,0.08999991416931152,1.0,1740481168.2107863,0.08999991416931152,1.0558995796904764,1740481168.210787,0.08999991416931152,0.0,1740481168.210788,0.08999991416931152,0.003669642823243459,1740481175.8787684,7.699992656707764
1740481168.23064,0.09999990463256836,9.179463234421092e-05,1740481168.2306416,0.09999990463256836,0.0,1740481168.2306437,0.09999990463256836,9.179463234421094e-07,1740481168.2306461,0.09999990463256836,2.0073402035928103,1740481168.230647,0.09999990463256836,0.0,1740481168.2306483,0.09999990463256836,0.0,1740481168.2306497,0.09999990463256836,0.0,1740481168.2306507,0.09999990463256836,0.0,1740481168.2306516,0.09999990463256836,0.061237243569579464,1740481168.2306528,0.09999990463256836,1.0,1740481168.230654,0.09999990463256836,1.057567600746336,1740481168.230655,0.09999990463256836,0.0,1740481168.230656,0.09999990463256836,0.003669642823243459,1740481175.897922,7.719992637634277
1740481168.2537935,0.11999988555908203,9.179463234421092e-05,1740481168.2537951,0.11999988555908203,0.0,1740481168.2537973,0.11999988555908203,0.0,1740481168.2537997,0.11999988555908203,2.007431080278831,1740481168.2538004,0.11999988555908203,0.0,1740481168.2538018,0.11999988555908203,0.0,1740481168.253803,0.11999988555908203,0.0,1740481168.253804,0.11999988555908203,0.0,1740481168.2538047,0.11999988555908203,0.06490688639282292,1740481168.2538059,0.11999988555908203,0.0,1740481168.2538068,0.11999988555908203,0.061237243569579464,1740481168.2538075,0.11999988555908203,0.0,1740481168.2538085,0.11999988555908203,0.003669642823243459,1740481175.9188528,7.739992618560791
1740481168.2718706,0.14999985694885254,9.179463234421092e-05,1740481168.2718735,0.14999985694885254,0.0,1740481168.2718768,0.14999985694885254,0.0,1740481168.271879,0.14999985694885254,2.007431080278831,1740481168.27188,0.14999985694885254,0.0,1740481168.271881,0.14999985694885254,0.0,1740481168.2718823,0.14999985694885254,0.0,1740481168.2718832,0.14999985694885254,0.0,1740481168.2718842,0.14999985694885254,0.06490688639282292,1740481168.2718854,0.14999985694885254,0.0,1740481168.2718863,0.14999985694885254,0.061237243569579464,1740481168.271887,0.14999985694885254,0.0,1740481168.2718885,0.14999985694885254,0.003669642823243459,1740481175.9376323,7.759992599487305
1740481168.2922604,0.1699998378753662,9.179463234421092e-05,1740481168.292262,0.1699998378753662,0.0,1740481168.2922645,0.1699998378753662,0.0,1740481168.2922666,0.1699998378753662,2.007431080278831,1740481168.2922676,0.1699998378753662,0.0,1740481168.292269,0.1699998378753662,0.0,1740481168.2922702,0.1699998378753662,0.0,1740481168.2922711,0.1699998378753662,0.0,1740481168.292272,0.1699998378753662,0.06490688639282292,1740481168.2922728,0.1699998378753662,0.0,1740481168.292274,0.1699998378753662,0.061237243569579464,1740481168.292275,0.1699998378753662,0.0,1740481168.292276,0.1699998378753662,0.003669642823243459,1740481175.9577725,7.779992580413818
1740481168.3110068,0.18999981880187988,9.179463234421092e-05,1740481168.311009,0.18999981880187988,0.0,1740481168.3110113,0.18999981880187988,0.0,1740481168.311014,0.18999981880187988,2.007431080278831,1740481168.311015,0.18999981880187988,0.0,1740481168.311016,0.18999981880187988,0.0,1740481168.3110175,0.18999981880187988,0.0,1740481168.3110187,0.18999981880187988,0.0,1740481168.3110197,0.18999981880187988,0.06490688639282292,1740481168.3110209,0.18999981880187988,0.0,1740481168.3110218,0.18999981880187988,0.061237243569579464,1740481168.3110228,0.18999981880187988,0.0,1740481168.311024,0.18999981880187988,0.003669642823243459,1740481175.9780724,7.799992561340332
1740481168.3316643,0.20999979972839355,0.004016390192037811,1740481168.3316665,0.20999979972839355,0.0,1740481168.3316684,0.20999979972839355,4.159777012846354e-05,1740481168.3316705,0.20999979972839355,2.0956501663273044,1740481168.3316715,0.20999979972839355,0.0,1740481168.331673,0.20999979972839355,0.0,1740481168.3316739,0.20999979972839355,0.0,1740481168.331675,0.20999979972839355,0.0,1740481168.331676,0.20999979972839355,0.06490688639282292,1740481168.331677,0.20999979972839355,1.0,1740481168.3316777,0.20999979972839355,0.9971081420733545,1740481168.3316786,0.20999979972839355,0.0,1740481168.3316796,0.20999979972839355,0.04775838696241595,1740481175.9982026,7.819992542266846
